CD4Tconv	Fibroblasts	Malignant	DC
BTG2	0	-0.69	0.28	-0.29
SLC9A3R1	0	-0.71	0.45	-0.5
SERPINB9	0	-0.72	-0.7	1.1
LDLRAD4	0	-0.77	-0.78	0.43
TXNIP	0	-0.78	-0.26	-0.68
LITAF	0	-0.78	-0.53	0.93
LAG3	0	-0.8	-0.77	-0.53
CTSW	0	-0.82	-0.78	-0.64
HMGB2	0	-0.85	-0.7	-0.54
CCL20	0	-0.87	0.61	-0.43
PRF1	0	-0.92	-0.88	-0.71
ODC1	0	-0.93	0.59	-0.71
VAMP8	0	-0.98	0.58	0.42
SYNGR2	0	-1.04	-0.42	1.21
REL	0	-1.09	-0.67	0.99
ALOX5AP	0	-1.18	-1.15	0
CD8A	0	-1.24	-1.2	-1.04
NKG7	0	-1.89	-1.83	0
CCL5	0	-2.17	-2.13	-1.88
COX17	0	-0.26	0.25	0
PTPN1	0	-0.31	-0.26	0.73
DHCR7	0	-0.29	0.36	-0.27
IRF2BP2	0	-0.27	0	0
ANKRD37	0	-0.36	0.31	0
RNF167	0	-0.26	0	-0.31
LYST	0	-0.34	-0.38	0
HIST1H2AC	0	-0.26	0.68	0
DDX39A	0	-0.26	0.4	0
ANP32A	0	-0.25	0.39	0
CDK2AP2	0	-0.31	0	0
ARL4A	0	-0.32	0	0
TUBB4B	0	-0.29	0.31	0
VASP	0	-0.29	-0.25	0.54
ATP1A1	0	-0.32	0.34	0
DNTTIP2	0	-0.25	0	0
ARPC1B	0	-0.32	-0.35	0.4
ATP2B1	0	-0.33	-0.35	0
POLR2A	0	-0.27	0	0
C9orf142	0	-0.32	-0.4	0
RPL7	0	-0.28	0.31	0
SMC4	0	-0.29	0.47	-0.27
TNFRSF9	0	-0.45	-0.51	0
MAP2K3	0	-0.27	-0.27	0.26
FGFR1OP2	0	-0.25	-0.25	-0.3
NR4A3	0	-0.46	-0.61	1.24
MAT2A	0	-0.29	0	0
SP100	0	-0.31	-0.46	-0.4
CCNL1	0	-0.28	0.57	-0.25
IRF1	0	-0.27	-0.37	0
DUSP5	0	-0.3	0.65	0.76
CTSS	0	-0.43	-0.44	0.28
PNN	0	-0.26	0.32	0
RAP2B	0	-0.27	0.93	0
MXD1	0	-0.29	0.69	0.47
PPM1K	0	-0.26	-0.37	0
IRF7	0	-0.34	-0.35	0.34
PTP4A1	0	-0.28	0	0
PSMB9	0	-0.3	-0.69	0
RAB8B	0	-0.26	-0.38	0.36
CMTM6	0	-0.3	-0.36	0.87
ELL2	0	-0.26	-0.3	0
CXCL13	0	-0.91	-1.57	-0.88
CBLB	0	-0.34	-0.46	-0.32
NFKB1	0	-0.28	-0.29	0.82
C20orf24	0	-0.25	0.59	-0.3
CALM3	0	-0.27	-0.47	0
MX1	0	-0.31	-0.73	0
TRAF4	0	-0.27	0.69	0
CDKN1A	0	-0.29	0.4	1.05
SNRPA1	0	-0.33	2.23	0
TOB1	0	-0.28	0.37	0
PRNP	0	-0.29	0.28	-0.51
MAP3K8	0	-0.35	0.31	0.47
ITGAE	0	-0.29	-0.31	-0.28
RGS2	0	-0.5	-0.99	0.35
HERPUD1	0	-0.4	-0.33	0
CHMP1B	0	-0.31	-0.44	0.61
CKLF	0	-0.28	-0.47	0.31
CDC42EP3	0	-0.25	-0.27	0
CCND2	0	-0.27	-0.61	0
ANXA1	0	-0.71	1.66	-0.57
RBPJ	0	-0.27	-0.56	0
CTSC	0	-0.3	-0.39	0
C7	0	2.53	0	0
PLA2G2A	0	2.32	0	0
IGF1	0	1.97	0	0
ADH1B	0	1.6	0	0
THBS4	0	1.46	0	0
HSPB6	0	1.44	0	0
ABCA8	0	1.33	0	0
ABI3BP	0	1.13	0	0
FXYD1	0	1.03	-0.26	0
TNXB	0	0.99	0	0
OGN	0	0.95	0	0
PI16	0	0.92	0	0
LEPR	0	0.9	0	0
LAMA2	0	0.85	0	0
ABCA6	0	0.81	0	0
SCN7A	0	0.8	0	0
MATN2	0	0.79	0	0
FMO2	0	0.78	0.63	0
CD302	0	0.77	0	0
LRRN4CL	0	0.76	0	0
RBMS3	0	0.75	0	0
CYP1B1	0	0.75	0	0
GPC3	0	0.74	0.29	0
FXYD6	0	0.73	0	0
PID1	0	0.73	0	0
HSD11B1	0	0.73	0	0
RAMP1	0	0.7	0.58	0.7
ADD3	0	0.7	0	-0.35
SMOC2	0	0.7	0	0
ALDH1A3	0	0.67	0.33	0
CH25H	0	0.67	0	0
ITIH5	0	0.67	0	0
CYGB	0	0.66	0	0
EPB41L2	0	0.63	0	0
OAF	0	0.62	0	0
PROS1	0	0.61	0	0
SLIT3	0	0.61	0	0
PBX1	0	0.59	0	0
RGS5	0	0.59	0	0
TSHZ2	0	0.58	0.26	-0.35
ANK2	0	0.58	0	0
NFIX	0	0.57	0	0
MEST	0	0.57	0.29	0
IL6ST	0	0.56	-0.39	-0.27
PEBP1	0	0.55	0.65	-0.26
CHRDL1	0	0.55	0	0
MEDAG	0	0.53	0	0
KLF9	0	0.53	-0.27	0
AGT	0	0.53	0	0
FRZB	0	0.53	0.45	0
RUNX1T1	0	0.53	0	0
SERPINA3	0	0.52	0.34	0
ECHDC2	0	0.52	0	0
LINC01140	0	0.52	0	0
GSTM5	0	0.52	0	0
RERG	0	0.51	0	0
ZBTB20	0	0.51	-0.25	0
OLFML1	0	0.5	0	0
EPHA3	0	0.49	0	0
BOC	0	0.49	0	0
AHNAK	0	0.49	-0.56	0
SH3D19	0	0.49	0	0
MT-ND3	0	0.49	0.32	0
IL15RA	0	0.48	0	0
GFRA1	0	0.48	0.57	0
NDRG2	0	0.48	0.33	0.33
NR2F1	0	0.48	0	0
ESD	0	0.47	0	0
TMEM100	0	0.47	0	0
C1orf21	0	0.47	0	0
SERTAD1	0	0.47	0.29	-0.41
PTGIS	0	0.47	0	0
PDE5A	0	0.46	0	0
ZMYM6NB	0	0.46	0	-0.28
LIMA1	0	0.46	0.6	-0.35
TMBIM4	0	0.45	0.27	-0.26
RBMS1	0	0.45	-0.32	-0.3
CCPG1	0	0.45	-0.27	0
CAPN6	0	0.45	0	0
OSR1	0	0.45	0.69	0
TPPP3	0	0.44	0	0
SLIT2	0	0.44	0	0
PLAGL1	0	0.44	0	0
COMP	0	0.43	0.45	0
CYP27A1	0	0.43	0	0
MIR99AHG	0	0.43	0	0
PHLDB1	0	0.43	0	0
C1QTNF2	0	0.43	0	0
SVEP1	0	0.43	0	0
PLSCR4	0	0.42	0	0
CDO1	0	0.42	0	0
MAMDC2	0	0.42	0	0
TCEAL7	0	0.42	0	0
PENK	0	0.41	0	0
EIF1B	0	0.41	-0.29	-0.28
SELENBP1	0	0.41	0.71	0
ABCA9	0	0.41	0	0
GAS7	0	0.41	0	0
PCDH18	0	0.41	0	0
GNG12	0	0.4	0.27	0
ABCA10	0	0.39	0	0
SCARA5	0	0.39	0	0
SLC40A1	0	0.39	0	0
METTL7A	0	0.39	0.42	0
ADAMTSL3	0	0.39	0	0
SMPDL3A	0	0.39	0	0
RGMA	0	0.39	0	0
EGR2	0	0.39	0.43	0
C16orf45	0	0.39	0	0
FMO3	0	0.38	0	0
PQLC3	0	0.38	0	0
KCNN3	0	0.38	0	0
DPYSL2	0	0.38	0	0
LMNA	0	0.38	0	-0.27
MT-CYB	0	0.38	0.46	0
ZCCHC24	0	0.38	0	0
IL33	0	0.38	0	0
GABARAPL2	0	0.37	0	0.42
FAM13C	0	0.37	0	0
CHRDL2	0	0.37	0	0
DTWD1	0	0.37	0	0
C1RL	0	0.37	0.66	0
SEC62	0	0.37	0	-0.35
TMEM55A	0	0.37	0	0
GREM2	0	0.37	0	0
C1QTNF7	0	0.37	0	0
SERINC1	0	0.37	-0.32	-0.26
CILP	0	0.37	0	0
APCDD1	0	0.36	0	0
NDNF	0	0.36	0	0
ANGPTL1	0	0.36	0	0
TMEM59	0	0.36	0.52	-0.6
TFPI2	0	0.36	0	0
PTCH1	0	0.36	0	0
RNF24	0	0.36	0.31	0
CAMK2N1	0	0.36	0	0
PDE1A	0	0.36	0	0
CLEC3B	0	0.36	0	0
LTBP3	0	0.36	0.26	0
APOL1	0	0.36	0	0
CST2	0	0.36	0	0
TACC1	0	0.35	-0.29	0
ANKRD35	0	0.35	0	0
EGR3	0	0.35	0	0
RECK	0	0.34	0	0
CPED1	0	0.34	0	0
PCYOX1	0	0.34	0	0
FUNDC2	0	0.34	0	0
SAMD11	0	0.34	0	0
ADAM33	0	0.34	0	0
PRICKLE1	0	0.34	0	0
TRIP10	0	0.34	0.32	0.34
FBXO17	0	0.34	0.36	0
ECM2	0	0.33	0	0
SCP2	0	0.33	0	0
ADGRA2	0	0.33	0	0
TNFSF13B	0	0.33	-0.27	0.46
SFRP1	0	0.33	1.39	0
NME3	0	0.33	0	0
KITLG	0	0.33	0	0
SSBP2	0	0.32	0	0
HAS1	0	0.32	0	0
MAP1A	0	0.32	0	0
EFHD1	0	0.32	0.39	0
VIT	0	0.32	0	0
PLEKHH2	0	0.32	0	0
TMEM43	0	0.31	0	0
CDIPT	0	0.31	0	-0.28
IL34	0	0.31	0	0
HEYL	0	0.31	0	0
CHD9	0	0.31	0	0
KCTD12	0	0.31	0	0
FAIM2	0	0.31	0	0
FLRT2	0	0.31	0	0
CLIP3	0	0.31	0	0
OAT	0	0.3	0.4	0
CDC42EP2	0	0.3	0	0
BDKRB1	0	0.3	0	0
JAM2	0	0.3	0	0
EBF1	0	0.3	0	0
RP11-1000B6	0	0.3	0	0
GNPTG	0	0.3	0	0
JAM3	0	0.3	0	0
RRAGA	0	0.3	0	-0.27
SVIL	0	0.3	0.28	0
HYI	0	0.3	0.25	0
ABCC9	0	0.3	0	0
PDK4	0	0.3	0	0
NEGR1	0	0.3	0	0
HSD17B11	0	0.3	-0.27	0
SEPT7	0	0.3	-0.47	-0.39
WISP2	0	0.3	0	0
SLC29A1	0	0.29	0	0
DCLK1	0	0.29	0	0
HIC1	0	0.29	0	0
PRKAR2B	0	0.29	0	0
SLC16A4	0	0.29	0	0
UROD	0	0.29	0	0
STMN3	0	0.29	0.49	0
NT5E	0	0.29	0	0
FZD4	0	0.29	0	0
DIO3OS	0	0.29	0	0
FAM92A1	0	0.29	0.27	0
BORCS7	0	0.29	0	0
ACVRL1	0	0.29	0	0
KAZN	0	0.29	0	0
IL6	0	0.29	0	0
ITGA8	0	0.29	0	0
BEX4	0	0.29	0.52	0
LARP6	0	0.28	0.31	0
DYNC2LI1	0	0.28	0	0
TNS2	0	0.28	0	0
ARHGAP10	0	0.28	0	0.29
RGMB	0	0.28	0	0
AK3	0	0.28	0.41	0
DAAM1	0	0.28	0	0
SKP1	0	0.28	0	-0.28
C2	0	0.28	0	0
THBS3	0	0.28	0	0
ZNF667-AS1	0	0.28	0	0
HMCN1	0	0.28	0	0
OS9	0	0.28	0	0
LRPAP1	0	0.28	0.73	-0.28
COL6A5	0	0.28	0	0
EDNRB	0	0.28	0	0
TGFBR3	0	0.28	-0.26	-0.26
CLIC2	0	0.28	0	0.63
SPG20	0	0.28	0	0
MRFAP1	0	0.27	-0.25	-0.33
FOXS1	0	0.27	0	0
C16orf89	0	0.27	0	0
TCTN1	0	0.27	0.48	0
MAPK10	0	0.27	0	0
CBR3	0	0.27	0.36	0
MAN1A1	0	0.27	0	0
ADI1	0	0.27	0.37	-0.3
PHYHD1	0	0.27	0	0
CYTH3	0	0.27	0	0
ISCU	0	0.27	-0.31	0
RNF146	0	0.27	0	0
SSC5D	0	0.27	0	0
MSRB2	0	0.27	0	0
FAM110B	0	0.26	0	0
OSR2	0	0.26	0	0
ADGRD1	0	0.26	0	0
PCSK5	0	0.26	0	0
ARMCX1	0	0.26	0	0
PAMR1	0	0.26	0	0
RBP5	0	0.26	0	0
SULT1A1	0	0.26	0	0
MVP	0	0.26	-0.36	0
EEA1	0	0.26	0	0
PTGFRN	0	0.26	0	0
OSBPL1A	0	0.26	0	0
ZFYVE21	0	0.26	0	0
PRKG1	0	0.26	0	0
FOXO3	0	0.26	0	0
CPNE3	0	0.26	0.29	0
PHACTR2	0	0.26	0	0
FOXP2	0	0.25	0	0
RGN	0	0.25	0	0
MEOX2	0	0.25	0	0
TCF7L2	0	0.25	0.26	0
MTFP1	0	-0.26	0	0
SHKBP1	0	-0.28	-0.29	0
RGS19	0	-0.3	-0.27	0
CDC42	0	-0.31	-0.48	0.29
RPL27	0	-0.31	0.34	0
TPST2	0	-0.31	0	0
BID	0	-0.32	0	1.03
VOPP1	0	-0.32	-0.26	0.31
B3GNT2	0	-0.32	0	0
PTMA	0	-0.35	-0.39	0
ACTR2	0	-0.35	-0.29	0.25
SERP1	0	-0.36	0.53	0
TRAPPC1	0	-0.36	0	0
ATP5G2	0	-0.36	0.42	0
PPM1G	0	-0.37	0.26	0
ARPC5L	0	-0.38	-0.3	0
PSME2	0	-0.38	-0.73	0.42
CCT6A	0	-0.39	0.28	0
WDR1	0	-0.39	-0.33	0
PSMA6	0	-0.39	0.5	0
C12orf75	0	-0.44	-0.37	0
CLIC1	0	-0.47	-0.34	0
MRPS6	0	-0.47	-0.33	0
MYL12A	0	-0.48	-0.3	0
ACTB	0	-0.5	-0.38	0.96
COX5A	0	-0.51	0.29	0
TAP1	0	-0.51	-0.33	0.29
IDH2	0	-0.52	0	0
ATP5E	0	-0.54	-0.31	0.29
OASL	0	-0.56	-0.59	-0.35
ACTR3	0	-0.59	-0.37	0.35
CFL1	0	-0.62	-0.28	0.45
ARPC3	0	-0.62	-0.27	0.37
ARPC2	0	-0.63	-0.25	0.42
PGK1	0	-0.64	-0.57	0
ISG15	0	-0.75	-0.69	0
PFN1	0	-0.84	-0.59	0.59
DBNDD2	0	0.31	0.34	0
THYN1	0	0.25	0	0
CAP1	0	-0.35	-0.37	0.35
C6orf48	0	0.27	0.27	0
TMEM109	0	0.26	0	0
ORMDL2	0	-0.25	0.26	0
POU2F2	0	-0.29	-0.28	0
ACTN4	0	-0.36	0.28	0
EHD4	0	-0.26	0	0
TES	0	-0.27	0.44	0.29
TMUB1	0	-0.26	0	0
TFRC	0	-0.3	0.44	0
ATP5J2	0	-0.33	0.26	0
CMC2	0	-0.31	-0.36	0
HDAC1	0	-0.27	0.26	0
PPP4C	0	-0.28	0.27	0
PTBP3	0	-0.26	-0.29	0
PRELID3B	0	-0.26	0.31	0
UBE2D2	0	-0.3	-0.41	0
PLEKHB2	0	-0.27	0	0
PSMB8	0	-0.35	-0.35	0
MRPL52	0	-0.3	0.26	0
LY9	0	-0.52	-0.52	-0.43
COPS8	0	0.26	0	0
DCXR	0	-0.31	0.4	0
PSMA5	0	-0.29	0	0
ZNF267	0	-0.3	-0.26	0.34
COX8A	0	-0.29	0.32	0
PAPOLA	0	-0.29	0	0
CDK6	0	-0.28	0.9	0
IQGAP1	0	-0.32	-0.31	0
CDC37	0	-0.3	-0.38	0.27
DUSP10	0	-0.35	-0.27	0
PRDM1	0	-0.33	-0.5	0
COX7B	0	-0.3	0.32	0
RPS17	0	-0.3	0.37	0
SNRPD1	0	-0.31	0.37	0
LYPLA1	0	-0.26	0.38	0
CCT4	0	-0.32	0.39	0
ARPP19	0	-0.26	0	0
UBE2N	0	-0.27	0	0
MALT1	0	-0.26	0	0.69
CHST11	0	-0.26	-0.35	0
M6PR	0	-0.26	0.85	0.26
LSM4	0	-0.3	0.26	0
ATP5L	0	-0.26	-0.4	0
MT1F	0	-0.51	-0.46	-0.39
DRAP1	0	-0.3	-0.34	0
HSPA4	0	-0.32	-0.39	0
UQCR10	0	-0.28	0.26	0
SNU13	0	-0.25	0.41	-0.36
ATP5B	0	-0.27	0.35	0
ADRM1	0	-0.25	0.33	0
CCT5	0	-0.31	0.38	0
C9orf16	0	-0.29	0.45	-0.31
NOP10	0	-0.26	-0.48	0
PRRC2C	0	-0.26	-0.26	0
RNPS1	0	-0.25	0.66	0
PPP1R18	0	-0.31	-0.54	0
MRPL47	0	-0.26	0.32	-0.25
PTPRE	0	-0.26	-0.26	0.37
RALA	0	-0.32	-0.29	0.83
LSM7	0	-0.27	0.69	0
SET	0	-0.26	0.45	0
EPSTI1	0	-0.33	-0.53	0
NAP1L4	0	-0.25	0	-0.27
RPL22L1	0	-0.29	0.32	-0.32
SLC25A39	0	-0.25	0.27	0
SDF2L1	0	-0.26	0	0
SNRPF	0	-0.25	0.29	0
BAX	0	-0.26	-0.27	0
STRAP	0	-0.25	0.52	0
H2AFY	0	-0.25	0	0.43
AC133644	0	-0.35	-0.39	-0.27
TNIP1	0	-0.27	-0.32	0
RAB27A	0	-0.32	-0.42	-0.39
GNAI2	0	-0.27	-0.52	0.28
FOSL2	0	-0.27	-0.36	0
SAT1	0	-0.53	0.37	0.99
TMEM123	0	-0.31	0.98	0
ZFAND2A	0	-0.35	-0.68	0
DNPH1	0	-0.27	0	-0.39
HSPA6	0	-0.71	-0.76	0
FDCSP	0	1.9	1.42	0
DES	0	1.62	0	0
MYH11	0	1.28	0	0
SEMA3B	0	0.93	1.11	0
S100A1	0	0.75	0.27	0
LYPD1	0	0.63	0	0
GFRA3	0	0.51	0.9	0
TUBB2B	0	0.5	0.31	0
MIA	0	0.47	0.92	0
L1CAM	0	0.47	0	0
KCNMA1	0	0.43	0	0
CALB2	0	0.42	0	0
PLN	0	0.41	0	0
KCNMB1	0	0.39	0	0.27
SORBS1	0	0.38	0	0
CDH2	0	0.37	0	0
TMEM59L	0	0.36	0.29	0
TIMP4	0	0.35	0	0
HSPB7	0	0.34	0	0
LGI4	0	0.31	0	0
PRUNE2	0	0.31	0	0
GAP43	0	0.29	0	0
TSPAN11	0	0.29	0	0
SGCA	0	0.4	0	0
C8orf88	0	0.26	0	0
AMTN	0	1.75	1.08	0
TTLL7	0	0.26	0	0
NGFR	0	0.79	0.68	0
NOV	0	1.32	0.3	0
SORBS2	0	0.47	0.88	0
S100B	0	0.77	1.4	1.52
STARD13	0	0.37	0	0
LMOD1	0	0.39	0	0
GPC1	0	0.59	0.31	0
P3H2	0	0.28	0.27	0
ITGA3	0	0.26	0.31	0
MMP10	0	1.54	0.94	0
NES	0	0.55	0	0
PLOD3	0	0.49	0.43	0
SYNM	0	0.29	0.28	0
CARMN	0	0.27	0	0
MICALL2	0	0.28	0	0
PCBP4	0	0.27	0	0
SMTN	0	0.39	0	0
LINC00511	0	0.26	0.47	0
KRT81	0	1.27	0.48	0
KCNS3	0	0.32	0.31	0
STEAP3	0	0.27	0	0
FHL3	0	0.35	0	0
TBX3	0	0.28	0.51	0
ADAMTSL1	0	0.25	0	0
PHLDA3	0	0.3	0.37	0
ANGPTL4	0	0.48	0.3	0
SLC22A17	0	0.26	0.27	0
STC2	0	0.38	0	0
PGM2L1	0	0.41	0.47	-0.27
VWA1	0	0.26	0	0
EHBP1	0	0.32	0	0
AK1	0	0.26	0	0
MLLT11	0	0.27	0.37	0
ITGB8	0	0.33	0.6	0
PTX3	0	0.29	0.32	0
TRIM47	0	0.27	0	0
CTNNAL1	0	0.27	-0.27	0
ERBB3	0	0.32	0.56	0
SYNPO2	0	0.29	0	0
PDAP1	0	0.45	0.3	-0.29
AP1S2	0	0.47	-0.35	0.4
MMP7	0	0.5	0.83	0
FAM210B	0	0.28	0.96	0
TAGLN2	0	0.39	-0.47	0
RDX	0	0.39	0	0
DAG1	0	0.27	0	0
GPAA1	0	0.32	0.31	0
DYNC1LI2	0	0.28	0	0
BCAP29	0	0.26	0	0
KDSR	0	0.31	0	0
CXXC5	0	0.28	0	0
NRN1	0	0.29	0	0
TNS1	0	0.29	0	0
TUBB2A	0	0.36	0.52	0
CAMTA1	0	0.26	0.25	0
FAM50A	0	0.28	0	0
PSMB1	0	0.26	0.54	0
ENO2	0	0.28	0	0
IL16	0	-0.33	-0.36	0
CYSTM1	0	0.33	0.37	0
IL18BP	0	0.27	0	0
SBDS	0	0.26	0	-0.35
IMPDH2	0	0.25	0.3	0
LGALS9	0	-0.36	-0.34	0.67
PSMD8	0	0.26	0.27	0
CADM3	0	0.29	0	0
UQCRC1	0	0.27	0.26	0
SCCPDH	0	0.29	0	0
RASSF4	0	0.33	0	0.93
SMS	0	0.33	0.42	0
FIS1	0	0.27	0.4	-0.25
HES4	0	0.26	-0.3	0
ENTPD1	0	-0.35	-0.5	0
CENPW	0	0.29	0.26	0
VAMP5	0	0.3	-0.48	0
TMED10	0	0.26	0.41	0
CD55	0	-0.43	-0.81	0
SDCBP	0	-0.32	-0.39	0
CXCL10	0	0.79	0.6	0
MYCBP2	0	-0.27	-0.25	0
NIFK	0	0.64	0.32	0
TSN	0	0.38	0	0
FAM83D	0	0.39	0.3	0
HSPA1A	0	0.36	-1.02	0
SAA1	0	0.44	0.41	0
RPN2	0	0.26	0.61	0
BNIP3L	0	0.26	0.31	0
RFTN1	0	-0.26	-0.48	0.36
ANAPC15	0	0.29	0.53	0
CLIC3	0	-0.28	0.43	0
SERPINA1	0	0.26	1.26	0.37
NUDT4	0	0.28	0	-0.28
ID2	0	-0.33	-0.72	1.17
SPP1	0	-0.87	-0.89	0
CCL21	0	5.29	0	0
TFF3	0	2.41	0.86	0
CLDN5	0	2.25	0	0
MMRN1	0	2.06	0	0
SDPR	0	1.8	0	0
FABP4	0	1.75	0	0
ANGPT2	0	1.68	0	0
ECSCR	0	1.58	0	0
LYVE1	0	1.43	0	0
PROX1	0	1.29	0	0
TIE1	0	1.26	0	0
MYCT1	0	1.1	0	0
RHOJ	0	1.01	0	0
CLEC14A	0	1.01	0	0
SNCG	0	1	0.33	0
TM4SF18	0	0.99	0	0
MTUS1	0	0.97	0	0
CD200	0	0.97	0	0.29
FLT4	0	0.95	0	0
RAB11A	0	0.95	0.42	0
CXorf36	0	0.95	0	0
VWF	0	0.92	0	0
SMAD1	0	0.91	0.35	0
CDH5	0	0.9	0	0
TMEM255B	0	0.87	0	0
SEMA3A	0	0.85	0	0
ELK3	0	0.82	0	0
LDB2	0	0.82	0	0
TGFBR2	0	0.79	-0.5	-0.33
RELN	0	0.78	0	0
PODXL	0	0.76	0	0
ADCY4	0	0.75	0	0
CCL14	0	0.71	0	0
STC1	0	0.7	0	0
KANK3	0	0.68	0	0
SOX18	0	0.66	0	0
CNKSR3	0	0.66	0.41	0
ADGRL4	0	0.66	0	0
SEMA6A	0	0.65	0.26	0
ROBO4	0	0.65	0	0
F2RL3	0	0.64	0	0
EMCN	0	0.64	0	0
ESAM	0	0.64	0	0
ERG	0	0.63	0	0
PCDH17	0	0.63	0	0
PTPRB	0	0.62	0	0
RPS6KA2	0	0.61	0	0
DMTN	0	0.6	0	0
GALNT18	0	0.59	0	0
AFAP1L1	0	0.58	0	0
ADGRG3	0	0.57	0	0
ACKR2	0	0.57	0	0
GJA4	0	0.56	0	0
GPRC5B	0	0.56	0.27	0
RAPGEF5	0	0.56	0	0
HHEX	0	0.55	0	0
CDH13	0	0.55	0	0
BMP2	0	0.54	0	0
DLL4	0	0.54	0	0
C16orf62	0	0.53	0	0
PKHD1L1	0	0.52	0	0
CRIM1	0	0.51	0	0
FAM174B	0	0.51	0	0
TNFRSF10D	0	0.51	0	0
PLXND1	0	0.51	0	0
PGM5	0	0.51	0	0
MRC1	0	0.51	0	0.31
DYSF	0	0.51	0	0
AQP1	0	0.51	-0.26	0
WFS1	0	0.5	0	0
STAB1	0	0.5	0	0
DOCK9	0	0.49	0	0
LINC01235	0	0.48	0	0
RASGRP3	0	0.48	0	0
IPO11	0	0.48	0	0
LIMCH1	0	0.48	0	0
ADGRF5	0	0.48	0	0
APOLD1	0	0.48	0	0
PDE2A	0	0.48	0	0
GIMAP8	0	0.47	0	0
SEPN1	0	0.46	0	0
KDR	0	0.46	0	0
GPR146	0	0.45	0	0
SCN3B	0	0.45	0	0
LRRC32	0	0.45	0	0
RAMP3	0	0.45	0	0
SNCA	0	0.44	0	0
CD93	0	0.44	0	0
RP11-322E11	0	0.43	0	0
GIMAP5	0	0.43	0	0
SOX17	0	0.43	0	0
C2CD4B	0	0.43	0	0
LMO2	0	0.43	0	0
TBX1	0	0.42	0	0
HOXD8	0	0.42	0	0
SH2D3C	0	0.42	0	0
SLC24A1	0	0.41	0	0
MAGI1	0	0.41	0	0
PLVAP	0	0.41	0	0
FLNC	0	0.41	0	0
PTPRM	0	0.41	0	0
SASH1	0	0.4	0	0
ZNF521	0	0.4	0	0
STXBP6	0	0.4	0	0
DOCK6	0	0.39	0	0
SYNPO	0	0.39	0	0
CD36	0	0.39	0	0
BCL6B	0	0.38	0	0
KIAA1462	0	0.38	0	0
TNFAIP8L1	0	0.38	0	0
BMX	0	0.37	0	0
ROBO3	0	0.37	0	0
CDC42EP5	0	0.37	0.31	0
HOXD9	0	0.37	0	0
THSD1	0	0.37	0	0
EPHB4	0	0.36	0.48	0
C10orf11	0	0.36	0	0
RPGR	0	0.36	0	0
SCARF1	0	0.35	0	0
F8	0	0.35	0	0
SULT1C4	0	0.35	0	0
PREX2	0	0.35	0	0
PIEZO2	0	0.35	0	0
ICA1	0	0.35	0.26	0
ST6GALNAC3	0	0.34	0	0
RASIP1	0	0.34	0	0
KLHL4	0	0.34	0.46	0
EFNA5	0	0.34	0	0
TEK	0	0.34	0	0
ADAMTS9	0	0.33	0	0
GATA2	0	0.33	0	0
ITGA9	0	0.33	0.28	0
PALM	0	0.33	0	0
PCAT19	0	0.33	0	0
HID1	0	0.33	0.25	0
SEMA3D	0	0.32	0	0
ASGR1	0	0.32	0	0
SHE	0	0.32	0	0
LINC01197	0	0.32	0	0
THSD7A	0	0.31	0	0
ARAP3	0	0.3	0	0
FAM162B	0	0.3	0	0
TSPAN18	0	0.29	0	0
TSPAN12	0	0.29	0	0
RP11-536O18	0	0.29	0	0
GRAP	0	0.29	0	0
GPM6A	0	0.29	0	0
LRRC70	0	0.28	0	0
STAB2	0	0.28	0	0
ZNF385D	0	0.28	0	0
HSPA12B	0	0.28	0	0
FGD5	0	0.28	0	0
KBTBD11	0	0.27	0	0
MSMP	0	0.27	0	0
FRY	0	0.26	0	0
EXOC3L1	0	0.26	0	0
RADIL	0	0.25	0	0
CNTNAP3B	0	0.25	0	0
GDF10	0	0.25	0	0
LINC01558	0	0.25	0	0
STOM	0	0.82	-0.41	-0.39
PLCB4	0	0.28	0	0
PRKAR1B	0	0.48	0.31	0
KIAA0355	0	0.33	0	0
PLXNA2	0	0.33	0	0
RALGAPA2	0	0.3	0	0
SLCO2A1	0	0.33	0.27	0
LAYN	0	0.62	-0.33	-0.35
TRIOBP	0	0.45	0	0
CRACR2B	0	0.34	0.93	0
PLA1A	0	0.26	0	0
TSPAN15	0	0.38	0	0
MMRN2	0	0.39	0	0
CYYR1	0	0.33	0	0
TNFAIP1	0	0.45	0	0
PARD6G	0	0.27	0	0
OLFML2A	0	0.36	0	0
PTPN14	0	0.39	0.38	0
NOTCH4	0	0.26	0	0
BTBD3	0	0.29	0	0
LY96	0	0.5	-0.27	0
SMAGP	0	0.44	0.41	0
IL3RA	0	0.29	0	0
ACKR3	0	0.38	0	0
FAM43A	0	0.28	0	0
TMOD1	0	0.3	0	0
MPDZ	0	0.25	0	0
LINC01116	0	0.26	0	0
GIMAP6	0	0.25	0	0
LIMS1	0	0.72	-0.38	0
FLNB	0	0.51	0	0
STON2	0	0.29	0	0
PLA2G4C	0	0.27	0	0
TMOD2	0	0.26	0	0
HEY1	0	0.57	0.65	0
ADAMTS4	0	0.34	0	0
CEP68	0	0.37	0	0
BCAR1	0	0.34	0	0
PARVB	0	0.54	-0.3	0
EDN1	0	0.97	0.3	0
TSPAN5	0	0.58	-0.28	-0.29
CPNE8	0	0.36	0	0
EFNB2	0	0.38	0	0
YES1	0	0.45	0.31	-0.26
SIRPA	0	0.37	0	0.31
GUK1	0	0.49	0	-0.26
MYL12B	0	0.49	0.74	0
TEAD2	0	0.38	0	0
