CD4Tconv	Fibroblasts	Mono/Macro	Malignant	Plasma	Pericytes	CD8Tex	DC	Tprolif	B	Mast	Endothelial	Treg
BMP7	0	0	0	0.26	0	0	0	0	0	0	0	0	0
BNIPL	0	0	0	0.26	0	0	0	0	0	0	0	0	0
NEDD4L	0	0	0	0.26	0	0	0	0	0	0	0	0	0
SMURF1	0	0	0	0.26	0	0	0	0	0	0	0	0	0
MAFK	0	0	0	0.26	0	0	0	0	0	0	0	0	0
TMEM183A	0	0	0	0.26	-0.37	0	0	0	0	0	0	0	0
RSRC1	0	0	0	0.26	-0.27	0	0	0	0	0	0	0	0
WNT7B	0	0	0	0.26	0	0	0	0	0	0	0	0	0
ABCA13	0	0	0	0.26	0	0	0	0	0	0	0	0	0
AC019349	0	0	0	0.26	0	0	0	0	0	0	0	0	0
FUT2	0	0	0	0.26	0	0	0	0	0	0	0	0	0
MARVELD3	0	0	0	0.26	0	0	0	0	0	0	0	0	0
ANO1	0	0	0	0.26	0	0.37	0	0	0	0	0	0	0
TNKS1BP1	0	0	0	0.25	0	0	0	0	0	0	0	0	0
VSIG2	0	0	0	0.25	0	0	0	0	0	0	0	0	0
KRT31	0	0	0	0.25	0	0	0	0	0	0	0	0	0
PACSIN3	0	0	0	0.25	0	0	0	0	0	0	0	0	0
SLC25A25	0	0	0	0.25	0	0	0	0	0	0	0	0.41	0
ARHGAP32	0	0	0	0.25	0	0	0	0	0	0	0	0	0
SON	0	0	0	-0.35	-0.82	0	0	0	0	0	0	0	0
ARHGDIA	0	0	0	-0.36	-0.76	0	0.27	0	0.34	0	0	0	0
TMEM165	0	0	0	0.34	-0.5	0.4	0	0	0	0	0	0	0
DKK1	0	0	0	0.27	0	0	0	0	0	0	0	0	0
PRKAR1A	0	0	0	-0.37	-0.7	0.39	0	0	0	0	0.26	0	0
OAS1	0	0	0	0.41	0	0	0.26	-0.29	0	0	-0.32	0	0.42
HIGD2A	0	0	0	-0.28	-0.76	0	0	0	0	0	0	-0.28	0.31
PLEC	0	0	0	0.32	-0.58	0	0	0	0	-0.48	-0.25	0.55	0
VPS13C	0	0	0	-0.3	-0.36	0	0	0	0	0	0	0	0
NDUFAF3	0	0	0	-0.27	-0.36	0.26	0	0	0	0	0	0	0
DNAJC1	0	0	0	-0.3	0.27	0	0	0	0.29	-0.32	0	0	0
RARA	0	0	0	-0.28	-0.33	0	0	0	0	0.43	0.51	0	0
STARD3NL	0	0	0	-0.26	-0.35	0	0.27	0	0	0	0	0	0
DHRS7	0	0	0	-0.28	-0.37	0	0.29	0	0	-0.4	0.26	0	0
CCDC107	0	0	0	-0.3	-0.38	0	0.32	0	0	0	0	-0.27	0
ANKRD28	0	0	0	-0.27	0.59	0	0	0	0	0	0.58	0.35	0
NSA2	0	0	0	-0.27	-0.56	0	0	0	0	0.29	0	0	0
OSBPL8	0	0	0	-0.3	-0.63	0	0	0	0	0	0.83	0	0
SMARCA5	0	0	0	-0.27	-0.46	0	0	0	0	0	0	0	0
TMF1	0	0	0	-0.27	-0.33	0	0	0	0	0	0	0	0
IFI35	0	0	0	-0.26	0	0	0.31	0	0.32	0	0	0	0.27
PCM1	0	0	0	-0.26	-0.43	0	0	0	0	0	0.29	0	0
CAPZA2	0	0	0	0.27	-0.62	0	0	0	0	0	0	0.32	0
IGHM	0	0	0	-0.34	1.98	0	0	0	0	1.18	0	0	0
IL1R2	0	0	0	0.73	0	0	0	0	0	0	0	0	1.04
YAP1	0	0	0	0.49	0	0	0	0	0	0	0	0	0
COL17A1	0	0	0	0.4	0	0	0	0	0	0	0	0	0
MIB2	0	0	0	0.38	0	0	0	0	0	0	0	0	0
ISYNA1	0	0	0	0.38	0	0.98	0	0	0	0	0	0	0
DLK2	0	0	0	0.35	0	0	0	0	0	0	0	0	0
PIGX	0	0	0	0.35	-0.25	0	0	0	0	0	0	0	0
EYA2	0	0	0	0.33	0	0	0	0	0	0	0	0	0
NAPRT	0	0	0	0.33	0	0	0	0	0	0	0	0	0
ZG16B	0	0	0	0.33	0	0	0	0	0	0	0	0	0
TOMM40	0	0	0	0.32	-0.33	0	0	0	0	0	0	0	0
BEX2	0	0	0	0.32	0	0	0	0	0	0	0	0	0
NPPC	0	0	0	0.31	0	0	0	0	0	0	0	0	0
TRAP1	0	0	0	0.31	-0.25	0	0	0	0	0	0	0	0
THSD4	0	0	0	0.31	0	0	0	0	0	0	0	0	0
POLR2H	0	0	0	0.31	-0.38	0	0	0	0	-0.27	0	0	0
CRNDE	0	0	0	0.31	0	0	0	0	0	0	0	0.33	0
TNNT1	0	0	0	0.3	0	0	0	0	0	0	0	0	0
AVPI1	0	0	0	0.3	0	0	0	0	0	0	0	0	0
ARG2	0	0	0	0.3	0	0	0	0	0	0	0	0	0
CH17-360D5	0	0	0	0.3	0	0	0	0	0	0	0	0	0
GLRX3	0	0	0	0.3	-0.44	0	0	0	0	0	0	0	0
EXOSC4	0	0	0	0.3	0	0	0	0	0	0	0	0	0
AGRN	0	0	0	0.29	0	0.27	0	0	0	0	0	0.36	0
EXOSC5	0	0	0	0.29	0	0	0	0	0	0	0	0	0
LAMA5	0	0	0	0.28	0	0	0	0	0	0	0	0.47	0
CHST9	0	0	0	0.28	0	0	0	0	0	0	0	0	0
CX3CL1	0	0	0	0.28	0	0	0	0	0	0	0	0.39	0
KCTD1	0	0	0	0.28	0	0	0	0	0	0	0	0	0
FBXO2	0	0	0	0.27	0	0	0	0	0	0	0	0	0
MSLN	0	0	0	0.27	0	0	0	0	0	0	0	0	0
ITGB6	0	0	0	0.27	0	0	0	0	0	0	0	0	0
TFDP2	0	0	0	0.27	-0.28	0	0	0	0	0	0	0	0
SHANK2	0	0	0	0.26	0	0	0	0	0	0	0	0	0
TSEN34	0	0	0	0.26	-0.31	0	0	0	0	-0.25	0	0	0
ADORA2B	0	0	0	0.26	0	0	0	0	0	0	0	0	0
MANBAL	0	0	0	0.26	0	0	0	0	0	0	0	0	0
MMP28	0	0	0	0.26	0	0	0	0	0	0	0	0.38	0
CYP24A1	0	0	0	0.26	0	0	0	0	0	0	0	0	0
CYB561	0	0	0	0.26	0	0	0	0	0	0	0.25	0	0
ST6GALNAC2	0	0	0	0.26	0	0	0	0	0	0	0	0	0
CBWD5	0	0	0	0.26	0	0	0	0	0	0	0	0	0
HOXD11	0	0	0	0.25	0	0	0	0	0	0	0	0	0
NDUFV2-AS1	0	0	0	0.27	0	0	0	0	0	0	0	0	0
PRR4	0	0	0	0.4	0	0	0	0	0	0	0	0	0
BIRC2	0	0	0	0.31	-0.34	0	0	0	0	0	0	0	0
FGF19	0	0	0	1.43	0	0	0	0	0	0	0	0	0
KREMEN2	0	0	0	1.05	0	0	0	0	0	0	0	0	0
LRRC28	0	0	0	1.03	0	0	0.34	0	0	0	0	0	0
NPTX2	0	0	0	0.91	0	0	0	0	0	0	0	0	0
COL9A3	0	0	0	0.88	0	0	0	0	0	0.68	0	0	0
IGF1R	0	0	0	0.82	0	0	0	0	0	0	0	0	0
LTF	0	0	0	0.81	0	0	0	0	0	0	0	0	0
ORAOV1	0	0	0	0.75	0	0	0	0	0	0	0	0	0
SOSTDC1	0	0	0	0.74	0	0	0	0	0	0	0	0	0
RAC3	0	0	0	0.73	0	0	0	0	0	0	0	0	0
NPW	0	0	0	0.7	0	0	0	0	0	0	0	0	0
PRSS21	0	0	0	0.67	0	0	0	0	0	0	0	0	0
GMPS	0	0	0	0.66	-0.33	0	0	0	0	0	0	0	0
RPN1	0	0	0	0.63	0	0	0	-0.26	0	-0.4	0	0	0
PRAME	0	0	0	0.62	0	0	0	0	0	0	0	0	0
TM7SF3	0	0	0	0.61	0	0	0	0	0	0	0	0	0
MDFI	0	0	0	0.6	0	0	0	0	0	0	0	0	0
SRSF9	0	0	0	0.59	-0.41	0	0	0	0	0.53	0	0	0
ARF3	0	0	0	0.58	-0.45	0	0	0	0	-0.28	0	0	0
CCL19	0	0	0	0.58	0	0	0	1.78	0	0	0	0	0
ETV4	0	0	0	0.57	0	0	0	0	0	0	0	0	0
PDGFA	0	0	0	0.56	0	0.54	0	0	0	0	0	0	0
HLTF	0	0	0	0.55	0	0	0	0	0	0	0.44	0	0
NFE2L3	0	0	0	0.55	0	0	0	0	0	0	0.33	0	0
UNG	0	0	0	0.54	0	0	0.47	0	0	0	0	0	0
RUVBL1	0	0	0	0.53	0	0	0	0	0	0	0	0.26	0
ATXN7L3B	0	0	0	0.53	0	0	0	0	0	0	0	0	0
RFC4	0	0	0	0.52	0	0	0.42	0	0.4	0	0	0	0
H2AFY2	0	0	0	0.52	0	0	0	0	0	0	0	0	0
GBAS	0	0	0	0.5	-0.29	0	0	0	0	0	0	0	0
SBSPON	0	0	0	0.48	0	0	0	0	0	0	0	0	0
SEPHS2	0	0	0	0.48	-0.35	0	0	0	0	0.47	0	0	0
TFAP2C	0	0	0	0.48	0	0	0	0	0	0	0	0	0
IRX4	0	0	0	0.48	0	0	0	0	0	0	0	0	0
ALDH9A1	0	0	0	0.48	-0.3	0	0	0	0	0	0	0	0
XRN2	0	0	0	0.47	-0.53	0	0	0	0	0	0	0	0
MSH6	0	0	0	0.46	0	0	0.25	0	0	0.26	0	0	0
GAMT	0	0	0	0.46	0	0.28	0	0	0	0	0	0	0
LDOC1	0	0	0	0.46	0	0	0	0	0	0	0	0	0
CDK16	0	0	0	0.46	-0.3	0	0	0	0	0	0	0	0
MCM2	0	0	0	0.46	0	0	0.63	0	0.31	0	0	0	0
EIF2A	0	0	0	0.45	-0.32	0	0	0	0	0	0	0	0
CDCA7	0	0	0	0.45	0	0	0.52	0	0.29	0.77	0	0	0
EIF2S3	0	0	0	0.45	-0.51	0	0	0	0	0.43	0	0	0
DIABLO	0	0	0	0.45	-0.33	0	0	0	0	0	0	0	0
PODXL2	0	0	0	0.45	0	0	0	0	0	0	0	0	0
SAA2	0	0	0	0.45	0	0	0	0	0	0	0	0	0
FRMD4A	0	0	0	0.45	0	0	0	0	0	0	0	0.26	0
TMEM97	0	0	0	0.44	0	0	0	0	0	0	0	0	0
MGME1	0	0	0	0.44	0	0	0	0	0	0	0	0	0
ATP2C1	0	0	0	0.44	0	0	0	0	0	0	0	0	0
TTC23	0	0	0	0.43	0	0	0	0	0	0	0	0	0
LYSMD4	0	0	0	0.43	0	0	0	0	0	0	0	0	0
RMI2	0	0	0	0.43	0	0	0	0	0	0.31	0	0	0
PARL	0	0	0	0.43	-0.29	0	0	0	0	0	0	0	0
CSNK2A1	0	0	0	0.42	-0.3	0	0	0	0	0	0	0	0
SCARB1	0	0	0	0.42	0	0	0	0	0	0.35	0	0	0
SPATS2	0	0	0	0.42	0.25	0	0	0	0	0.48	0	0	0
KHDRBS1	0	0	0	0.42	-0.75	0	0	0	0.32	0.46	0	0	0
ANAPC13	0	0	0	0.42	0	0	0	0	0	0	0	0	0
KNOP1	0	0	0	0.42	0	0	0	0	0	0	0	0	0
UVRAG	0	0	0	0.42	-0.33	0	0	0.29	0	0.48	0	0	0
CEP70	0	0	0	0.42	0	0	0	0	0	0	0	0	0
HADH	0	0	0	0.41	0	0	0	0	0.27	0	0	0	0
PPP1R1B	0	0	0	0.41	0	0	0	0	0	0	0	0	0
RASSF6	0	0	0	0.41	0.27	0	0	0	0	0.74	0	0	0
THOC6	0	0	0	0.4	0	0	0	0	0	0	0	0	0
RAE1	0	0	0	0.4	0	0	0	0	0	0	0	0	0
NSFL1C	0	0	0	0.4	-0.34	0	0	0	0	0	0	0	0
NUMA1	0	0	0	0.4	-0.39	0	0	0	0	0	0	0	0
BCL7A	0	0	0	0.4	0	0	0	0	0	0.88	0	0	0
NUAK1	0	0	0	0.39	0	0	0	0	0	0	0	0.51	0
SH3RF1	0	0	0	0.39	0	0.26	0	0	0	0	0	0	0
LINC00885	0	0	0	0.39	0	0	0	0	0	0	0	0	0
ARC	0	0	0	0.39	0	0	0	0	0	0	0	0	0
TOPBP1	0	0	0	0.39	0	0	0.3	0	0.32	0	0	0	0
GYLTL1B	0	0	0	0.39	0	0	0	0	0	0	0	0	0
ISY1	0	0	0	0.38	-0.26	0	0	0	0	0	0	0	0
COL9A2	0	0	0	0.38	0	0	0	0	0	0	0.31	0	0.27
UCK2	0	0	0	0.38	0	0	0	0	0	0	0	0.34	0
DENR	0	0	0	0.38	-0.37	0	0	0	0	0	0	0	0
ZNF22	0	0	0	0.38	-0.27	0	0	0	0	0	0	0	0
TBL1XR1	0	0	0	0.38	-0.32	0	0	0	0	0	0	0	0
CENPV	0	0	0	0.37	0	0	0	0	0	0	0	0	0
WNT10A	0	0	0	0.37	0	0	0	0	0	0	0	0	0
PPP1R14C	0	0	0	0.37	0	0	0	0	0	0	0	0	0
PAICS	0	0	0	0.37	0	0	0.27	0	0	0	0	0	0
NIPSNAP1	0	0	0	0.37	0	0	0	0	0	0	0	0	0
DNAJC2	0	0	0	0.37	-0.38	0	0	0	0	0	0	0	0
NPB	0	0	0	0.37	0	0	0	0	0	0	0	0	0
ZNF664	0	0	0	0.37	0	0	0	0	0	0	0	0	0
PSAT1	0	0	0	0.37	0	0	0	0	0	0	0	0	0
SMIM10L1	0	0	0	0.37	-0.27	0	0	0	0	0	0	0	0
C12orf65	0	0	0	0.37	0	0	0	0	0	0	0	0	0
PYGB	0	0	0	0.37	0	0	0	0	0	0	0	0	0
SLC14A1	0	0	0	0.37	0	0	0	0	0	0	0	0	0
NDE1	0	0	0	0.36	-0.3	0	0	0.36	0.27	0	0	0	0
IGSF9	0	0	0	0.36	0	0	0	0	0	0	0	0	0
HOXA9	0	0	0	0.36	0	0	0	0	0	0	0	0	0
JPX	0	0	0	0.36	-0.27	0	0	0	0	0	0	0	0
DKC1	0	0	0	0.36	-0.25	0	0	0	0	0	0	0	0
FLRT3	0	0	0	0.36	0	0	0	0	0	0	0	0	0
ENTPD6	0	0	0	0.36	0	0	0	0	0	0	0	0	0
HELLS	0	0	0	0.36	0	0	0.63	0	0.46	0.34	0	0.3	0
STOX1	0	0	0	0.36	0	0	0	0	0	0	0	0	0
RBP7	0	0	0	0.36	0	0	0	0	0	0	0	0.4	0
MYNN	0	0	0	0.35	0	0	0	0	0	0	0	0	0
DLX2	0	0	0	0.35	0	0	0	0	0	0	0	0	0
KLHDC3	0	0	0	0.35	-0.28	0	0	0	0	0	0	0	0
CRABP1	0	0	0	0.35	0	0	0	0	0	0	0	0	0
AQP5	0	0	0	0.35	0	0	0	0	0	0	0	0	0
RBBP8	0	0	0	0.35	-0.27	0	0.34	0	0.4	0.32	0.71	0	0
SCOC	0	0	0	0.35	-0.26	0	0	0	0	0	0	0	0
TRIAP1	0	0	0	0.35	0	0	0	0	0	0	0	0	0
UPF3B	0	0	0	0.35	-0.28	0	0	0	0.27	0	0	0	0
STAG1	0	0	0	0.35	0	0	0	0	0	0	0	0	0
HMCES	0	0	0	0.35	0	0	0	0	0	0.76	0	0	0
MMAB	0	0	0	0.35	0	0	0	0	0	0	0	0	0
RAB4A	0	0	0	0.35	-0.28	0	0	0	0	0	0	0	0
PXMP2	0	0	0	0.35	0	0	0	0	0	0	0	0	0
HSPA4L	0	0	0	0.34	0	0	0	0	0	0	0	0	0
RFC5	0	0	0	0.34	0	0	0.29	0	0.3	0	0	0	0
ERI3	0	0	0	0.34	-0.27	0	0	0	0	0	0	0	0
MLST8	0	0	0	0.34	0	0	0	0	0	0	0	0	0
LSM6	0	0	0	0.34	-0.43	0	0.28	0	0	0.39	0	0	0
CDCA7L	0	0	0	0.34	0	0	0	0	0	0.51	0	0	0
ZKSCAN1	0	0	0	0.34	-0.26	0	0	0	0	0	0	0	0
MCCC1	0	0	0	0.34	0	0	0	0	0	0	0	0	0
TFAM	0	0	0	0.34	-0.28	0	0	0	0	0	0	0	0
BZW2	0	0	0	0.34	-0.35	0	0	0	0	0	0	0	0
SERTAD4	0	0	0	0.34	0	0	0	0	0	0	0	0	0
HOXC10	0	0	0	0.34	0	0	0	0	0	0	0	0	0
PSPH	0	0	0	0.33	0	0	0	0	0	0	0	0	0
GSS	0	0	0	0.33	-0.27	0	0	0	0	0	0	0	0
UBN1	0	0	0	0.33	0	0	0	0	0	0	0	0	0
NAV2	0	0	0	0.33	0	0	0	0	0	0	0	0.3	0
RP11-66B24	0	0	0	0.33	0	0	0	0	0	0	0	0	0
VAPB	0	0	0	0.33	0	0	0	0	0	0	0	0	0
ZNF638	0	0	0	0.33	-0.32	0	0	0	0	0	0	0	0
RHBDL1	0	0	0	0.33	0	0	0	0	0	0	0	0	0
XXYLT1	0	0	0	0.32	0	0	0	0	0	0	0	0	0
MORN2	0	0	0	0.32	0	0	0	0	0	0	0	0	0
MRPL48	0	0	0	0.32	0	0	0	0	0	0	0	0	0
C1orf35	0	0	0	0.32	-0.25	0	0	0	0	0	0	0	0
TMEM237	0	0	0	0.32	0	0	0	0	0	0	0	0	0
TSR2	0	0	0	0.32	-0.32	0	0	0	0	0	0	0	0
UBXN7	0	0	0	0.32	0	0	0	0	0	0	0	0	0
CLUAP1	0	0	0	0.32	0	0	0	0	0	0	0	0	0
PPME1	0	0	0	0.31	0	0	0	0	0	0	0	0	0
ALKBH2	0	0	0	0.31	0	0	0	0	0	0	0	0	0
AAAS	0	0	0	0.31	0	0	0	0	0	0	0	0	0
MCM3	0	0	0	0.31	0	0	0.82	0	0.55	0.38	0	0.36	0
ZFR	0	0	0	0.31	-0.38	0	0	0	0	0	0	0	0
C19orf48	0	0	0	0.31	0	0	0.32	0	0.3	0.42	0	0	0
METAP2	0	0	0	0.31	-0.41	0	0	0	0	0.78	0	0	0
TMEM108	0	0	0	0.31	0	0.28	0	0	0	0	0	0	0
CDCA4	0	0	0	0.31	0	0	0	0	0.6	0	0	0	0
RNF43	0	0	0	0.31	0	0	0	0	0	0	0	0	0
ASB7	0	0	0	0.31	0	0	0	0	0	0	0	0	0
KPNA4	0	0	0	0.3	-0.3	0	0	0	0	0	0	0	0
ARMC8	0	0	0	0.3	0	0	0	0	0	0	0	0	0
ACVR1B	0	0	0	0.3	0	0	0	0	0	0	0.3	0	0
NUBP2	0	0	0	0.3	-0.26	0	0	0	0	0	0	0	0
FAIM	0	0	0	0.3	0	0	0	0	0	0	0	0	0
FBXO21	0	0	0	0.3	0	0	0	0	0	0	0	0	0
CEP63	0	0	0	0.3	0	0	0	0	0	0	0	0	0
POLD3	0	0	0	0.3	0	0	0	0	0	0	0	0	0
VEZT	0	0	0	0.3	0	0	0	0	0	0.36	0	0	0
FOPNL	0	0	0	0.3	0	0	0	0	0	0	0	0	0
PITX2	0	0	0	0.3	0	0	0	0	0	0	0	0	0
STK38L	0	0	0	0.3	0	0	0	0	0	0	0	0	0
ESF1	0	0	0	0.3	-0.27	0	0	0	0	0	0	0	0
CHD6	0	0	0	0.3	0	0	0	0	0	0	0	0	0
TPT1-AS1	0	0	0	0.3	0	0	0	0	0	0	0	0	0
DHRS13	0	0	0	0.29	0	0	0	0	0	0	0	0	0
RYK	0	0	0	0.29	0	0	0	0	0	0	0	0	0
MRTO4	0	0	0	0.29	0	0	0	0	0	0	0	0	0
LTA4H	0	0	0	0.29	-0.3	0	0	0	0	0	0	0	0
CMAS	0	0	0	0.29	-0.25	0	0	0	0	0	0	0	0
ECT2	0	0	0	0.29	0	0	0	0	0.36	0	0	0	0
NUP107	0	0	0	0.29	0	0	0	0	0.27	0	0	0	0
PKN2	0	0	0	0.29	-0.29	0	0	0	0	0	0	0	0
RFC2	0	0	0	0.29	0	0	0.37	0	0.31	0.3	0	0	0
LINC00667	0	0	0	0.29	0	0	0	0	0	0	0	0	0
SENP2	0	0	0	0.29	0	0	0	0	0	0	0	0	0
AP000487	0	0	0	0.29	0	0	0	0	0	0	0	0	0
FGD6	0	0	0	0.29	0	0	0	0	0	0.54	0	0	0
ACAD9	0	0	0	0.29	0	0	0	0	0	0	0	0	0
CCDC144NL-AS1	0	0	0	0.28	0	0	0	0	0	0	0	0	0
BRD3	0	0	0	0.28	0	0	0	0	0	0	0	0	0
XPO1	0	0	0	0.28	-0.3	0	0	0	0.35	0.28	0	0	0
TNFRSF19	0	0	0	0.28	0	0	0	0	0	0	0	0	0
YEATS4	0	0	0	0.28	0	0	0.32	0	0.49	0	0	0	0
GTF2H3	0	0	0	0.28	0	0	0	0	0	0	0	0	0
FUBP1	0	0	0	0.28	-0.31	0	0	0	0.26	0	0	0	0
LSG1	0	0	0	0.28	0	0	0	0	0	0	0	0	0
ZNF326	0	0	0	0.28	-0.28	0	0	0	0	0	0	0	0
PAGR1	0	0	0	0.28	0	0	0	0	0	0	0	0	0
SUDS3	0	0	0	0.28	0	0	0	0	0	0	0	0	0
SLC33A1	0	0	0	0.28	0	0	0	0	0	0	0	0	0
CADM1	0	0	0	0.28	0	0	0	0	0	0	0	0	0.43
KAT8	0	0	0	0.28	0	0	0	0	0	0	0	0	0
RP11-620J15	0	0	0	0.27	0	0	0	0	0	0.3	0.34	0	0
ATL2	0	0	0	0.27	0	0	0	0	0	0	0	0	0
TFAP4	0	0	0	0.27	0	0	0	0	0	0	0	0	0
GRHL2	0	0	0	0.27	0	0	0	0	0	0	0	0	0
GPC4	0	0	0	0.27	0	0	0	0	0	0	0	0	0
PAQR4	0	0	0	0.27	0	0	0.28	0	0	0	0	0	0
IFT81	0	0	0	0.27	0	0	0	0	0	0	0	0	0
SMAD5	0	0	0	0.27	0	0	0	0	0	0	0	0	0
RGS12	0	0	0	0.27	0	0	0	0	0	0	0	0	0
MBD4	0	0	0	0.27	0	0	0	0	0	0.65	0.25	0	0
MRPS22	0	0	0	0.27	0	0	0	0	0	0	0	0	0
PSMD10	0	0	0	0.27	0	0	0	0	0	0	0	0	0
SPAG16	0	0	0	0.27	0	0	0	0	0	0	0	0	0
PIR	0	0	0	0.27	0	0	0	0	0	0	0	0	0
CFAP36	0	0	0	0.27	-0.28	0	0	0	0	-0.27	0	0	0
FOXC1	0	0	0	0.27	0	0	0	0	0	0	0	0.31	0
WDR43	0	0	0	0.26	0	0	0	0	0	0	0	0	0
PRPSAP1	0	0	0	0.26	-0.26	0	0	0	0.34	0	0	0	0
CREB3L4	0	0	0	0.26	0	0	0	0	0	0	0	0	0
LRP6	0	0	0	0.26	0	0	0	0	0	0	0	0	0
ZNF771	0	0	0	0.26	0	0	0	0	0	0	0	0	0
BCAN	0	0	0	0.26	0	0	0	0	0	0	0	0	0
EPHB3	0	0	0	0.26	0	0	0	0	0	0	0	0	0
MRPL19	0	0	0	0.26	0	0	0	0	0	0	0	0	0
SLC12A2	0	0	0	0.26	0	0	0	0	0	0	0	0	0
KDM1A	0	0	0	0.26	0	0	0	0	0	0	0	0	0
GPN3	0	0	0	0.26	0	0	0	0	0	0	0	0	0
IQCJ-SCHIP1	0	0	0	0.26	0	0	0	0	0	0	0	0	0
EBNA1BP2	0	0	0	0.26	-0.29	0	0	0	0	0	0	0	0
ZCCHC8	0	0	0	0.26	0	0	0	0	0	0	0	0	0
PRPF19	0	0	0	0.26	-0.25	0	0	0	0	0	0	0	0
FZD10	0	0	0	0.26	0	0	0	0	0	0	0	0	0
EIF2B1	0	0	0	0.26	0	0	0	0	0	0	0	0	0
NUPR2	0	0	0	0.26	0	0	0	0	0	0	0	0	0
BPHL	0	0	0	0.26	0	0	0	0	0	0	0	0	0
IRF2BPL	0	0	0	0.26	0	0	0	0	0	0	0	0	0
ECE2	0	0	0	0.26	0	0	0	0	0	0	0	0	0
TMTC3	0	0	0	0.25	0	0	0	0	0	0	0	0	0
IQCK	0	0	0	0.25	0	0	0	0	0	0	0	0	0
RHOT2	0	0	0	0.25	0	0	0	0	0	0	0	0	0
RNF121	0	0	0	0.25	0	0	0	0	0	0	0	0	0
VEZF1	0	0	0	0.25	-0.29	0	0	0	0	0	0	0	0
RIMKLB	0	0	0	0.25	0	0	0	0	0	0	0	0	0
NT5DC1	0	0	0	0.25	0	0	0	0	0	0	0	0	0
DNAL4	0	0	0	0.25	0	0	0	0	0	0	0	0	0
RDH14	0	0	0	0.25	0	0	0	0	0	0	0	0	0
PRMT5	0	0	0	0.25	0	0	0	0	0	0	0	0	0
HSD17B8	0	0	0	0.25	0	0	0	0	0	0	0	0	0
NSL1	0	0	0	0.25	0	0	0	0	0	0	0	0	0
CETN2	0	0	0	0.25	0	0	0	0	0	0	0	0	0
RARG	0	0	0	0.25	0	0	0	0	0	0	0	0	0
AAMP	0	0	0	0.33	-0.36	0	0	0	0	0	0	0	0
ACAP2	0	0	0	0.42	-0.6	0	0	0	0	0.33	0	0	0
PDCD7	0	0	0	0.25	0	0	0	0	0	0	0	0	0
LPCAT3	0	0	0	0.26	-0.26	0	0	0	0	0	0	0	0
NMRAL1	0	0	0	0.26	0	0	0	0	0	0	0	0	0
REST	0	0	0	0.28	-0.35	0	0	0	0	0	0	0	0
DDX54	0	0	0	0.26	-0.26	0	0	0	0	0	0	0	0
NELFE	0	0	0	0.31	-0.31	0	0	0	0	0	0	0	0
MRPS28	0	0	0	0.27	-0.26	0	0	0	0	0	0	0	0
ACBD6	0	0	0	0.25	-0.25	0	0	0	0	0	0	0	0
USP22	0	0	0	0.27	-0.37	0	0	0	0	0	0	0.26	0
FAM136A	0	0	0	0.27	0	0	0	0	0	0	0	0	0
PTPN11	0	0	0	0.26	-0.29	0	0	0	0	0	0	0	0
IMMT	0	0	0	0.26	-0.31	0	0	0	0	0	0	0	0
LINS1	0	0	0	0.45	0	0	0	0	0	0	0	0	0
PSMB4	0	0	0	0.35	-0.43	0	0	0	0	0	0	0	0
ZNF322	0	0	0	0.27	0	0	0	0	0	0	0	0	0
TARSL2	0	0	0	0.73	0	0	0	0	0	0	0	0	0
FLYWCH2	0	0	0	0.26	-0.29	0	0	0	0	0	0	0	0
MRPL28	0	0	0	0.29	-0.37	0	0	0	0	0	0	0	0
NOP56	0	0	0	0.26	-0.32	0	0	0	0	0	0	0	0
RNF114	0	0	0	0.3	-0.49	0	0	0	0	0	0	0	0.27
AAMDC	0	0	0	1.37	-0.26	0	0	0	0	0	0	0.25	0
ZFAND1	0	0	0	0.26	0	0	0	0	0	0	0	0	0
SRSF1	0	0	0	0.27	-0.4	0	0	0	0	0	0	0	0
SEC63	0	0	0	0.26	0	0	0	0	0	0	0	0	0
NDUFA9	0	0	0	0.27	-0.28	0	0	0	0	0	0	0	0
NOLC1	0	0	0	0.25	-0.32	0	0	0	0	0	0	0	0
LRRK1	0	0	0	0.26	0	0	0	0	0	0.25	0	0	0
XRN1	0	0	0	0.27	0	0	0	0	0	0	0	0	0
CARS	0	0	0	0.28	0	0	0.43	0	0	0	0	0	0
VBP1	0	0	0	0.26	-0.32	0	0	0	0	0	0	0	0
PSMD1	0	0	0	0.25	-0.37	0	0	0	0	0	0.35	0	0
PSMD3	0	0	0	0.25	-0.35	0	0	0	0	0	0	0	0
HNRNPL	0	0	0	0.27	-0.42	0	0	0	0	0.27	0	0	0
NDUFS2	0	0	0	0.26	-0.42	0	0	0	0	-0.25	0	0	0
TPD52L2	0	0	0	0.25	-0.34	0	0	0	0	0	0	0	0
WBP11	0	0	0	0.32	-0.4	0	0	0	0	0	0	0	0
RBBP6	0	0	0	0.3	-0.47	0	0	0	0	0	0	0	0
RB1CC1	0	0	0	0.25	-0.37	0	0	0	0	0	0	0	0
EIF1AX	0	0	0	0.28	-0.53	0	0	0	0	0	0	0	0
ANKLE2	0	0	0	0.27	-0.34	0	0	0	0	0	0	0	0
PSMB7	0	0	0	0.26	-0.48	0	0	0	0	-0.26	0	0	0
TIMM17B	0	0	0	0.31	0	0	0	0	0	0	0	0	0
MEF2A	0	0	0	1.01	-0.27	0	0	0	0	0.27	0	0.3	0
MAPRE1	0	0	0	0.28	-0.49	0	0	0	0	0	0.26	0	0
BRK1	0	0	0	-0.26	-0.95	0.29	0	0	0	0.34	0	0	0
